mean reward at round 532:112.84038326930367
mean reward at round 533:113.04459648134112
mean reward at round 534:113.46701782319522
mean reward at round 535:115.45867067580087
mean reward at round 536:106.3271394004742
mean reward at round 537:109.28945750780773
mean reward at round 538:112.65551971413925
mean reward at round 539:108.95908156004165
mean reward at round 540:113.15562443104517
mean reward at round 541:114.10358775854196
mean reward at round 542:107.50048358642879
mean reward at round 543:110.37865310882475
mean reward at round 544:107.48809006220532
mean reward at round 545:110.13536457273015
mean reward at round 546:110.20686825926246
mean reward at round 547:113.30422860916536
mean reward at round 548:111.01626536854788
mean reward at round 549:108.33462586684732
mean reward at round 550:111.40346200228481
mean reward at round 551:106.04001320088054
mean reward at round 552:111.17285153463591
mean reward at round 553:106.14971270458442
mean reward at round 554:109.10703745178402
mean reward at round 555:107.43980374954145
mean reward at round 556:109.26838876232831
mean reward at round 557:110.67772718021807
mean reward at round 558:114.86643120469168
mean reward at round 559:108.60185929191057
mean reward at round 560:117.35895560485744
mean reward at round 561:114.98394820413576
mean reward at round 562:116.00242436688777
mean reward at round 563:116.63339527758063
mean reward at round 564:118.32288739064667
mean reward at round 565:116.02192901434155
mean reward at round 566:115.48721695679302
mean reward at round 567:111.51141774340425
mean reward at round 568:116.22458180000189
mean reward at round 569:115.62179196394914
mean reward at round 570:112.81195395677958
mean reward at round 571:108.9610592713374
mean reward at round 572:111.34272413543748
mean reward at round 573:115.19925104125929
mean reward at round 574:112.60974511241257
mean reward at round 575:114.0496316905473
mean reward at round 576:113.25813051340593
mean reward at round 577:114.5964619452045
mean reward at round 578:116.78995451819439
mean reward at round 579:114.80550158127478
mean reward at round 580:117.27520102398428
mean reward at round 581:117.24671706335374
mean reward at round 582:109.02222220100091
mean reward at round 583:110.64417158413006
mean reward at round 584:111.40763219533056
mean reward at round 585:107.34115683639362
mean reward at round 586:113.90166473345163
mean reward at round 587:105.36913772641036
mean reward at round 588:105.43144919621129
mean reward at round 589:116.46253750439895
mean reward at round 590:111.54614859924357
mean reward at round 591:110.66940928683304
mean reward at round 592:104.87197714826331
mean reward at round 593:104.61432527852891
mean reward at round 594:109.13771100573142
mean reward at round 595:107.90916047218718
mean reward at round 596:116.08654024097757
mean reward at round 597:105.70279415072054
mean reward at round 598:103.0739272680422
mean reward at round 599:101.56775949120428
mean reward at round 600:105.12237298287984
mean reward at round 601:114.55511607672062
mean reward at round 602:112.88803403344812
mean reward at round 603:102.38436324064513
mean reward at round 604:100.7876789576306
mean reward at round 605:109.21308389918666
mean reward at round 606:110.96966977883977
mean reward at round 607:103.9205355865719
mean reward at round 608:107.57271987448254
mean reward at round 609:105.83907807361601
mean reward at round 610:104.58878557600084
mean reward at round 611:101.95077277037926
mean reward at round 612:106.38711515319481
mean reward at round 613:98.74721474378231
mean reward at round 614:98.78388804257261
mean reward at round 615:110.51502137559505
mean reward at round 616:111.9604027500989
